,Name,Area,City,Cuisine,Price for 2,Walk in Offer,Rating,Average distance from City-Center,Type of Dining
162,Tara Moroccan Kitchen, Jubilee Hills, Hyderabad,"Moroccan, Mediterranean, Seafood, Arabian, Asian, African, Biryani, Mandi",1200.0,10.0,4.4,10.0,Fine Dining
163,Naatu Kitchen And Bar, Jubilee Hills, Hyderabad,"Andhra, North Indian, Biryani, South Indian, Desserts, Chinese, Beverages",1000.0,10.0,4.6,9.9,Regional Dining
164,Kavyam The Telugu Table, Jubilee Hills, Hyderabad,"South Indian, North Indian, Biryani, Chinese, Kebab, Desserts, Beverages",1500.0,10.0,4.5,9.4,Regional Dining
165,Komma - The Club, Kothaguda, Hyderabad,"Italian, Fast Food, North Indian, Beverages, Chinese",1700.0,25.0,4.0,15.0,Fine Dining
166,House Of Bagaara, Madhapur, Hyderabad,"Biryani, Chinese, Hyderabadi",1500.0,15.0,4.5,12.3,Regional Dining
167,Ala Dakshinapuramlo - Buffet, Hitech City, Hyderabad,"South Indian, Biryani, North Indian, Desserts, Beverages",1500.0,10.0,3.9,13.8,Regional Dining
168,The Hole In The Wall Cafe, Jubilee Hills, Hyderabad,"Continental, American, Burger, Sandwich, Street Food, Waffle, Beverages",850.0,10.0,3.9,9.5,Thematic Dining
169,Turquoise - Le Meridien," Le Meridien, Gachibowli", Hyderabad,"Asian, North Indian, Hyderabadi, South Indian, Burger, Biryani, Desserts, Beverages",2500.0,30.0,4.2,15.1,Thematic Dining
170,Xora Bar & Kitchen, Jubilee Hills, Hyderabad,"Bar Food, Asian, Chinese, Italian, South Indian, Continental, Desserts",2000.0,10.0,4.3,10.4,Thematic Dining
171,Kortyard Cafe, Jubilee Hills, Hyderabad,"Cafe, Coffee, Asian, Continental, Chinese, Salad, Turkish, Beverages",1400.0,10.0,4.3,9.2,Casual Dining
172,Voila," Road 36, Jubilee Hills", Hyderabad,"European, Modern Indian, Biryani, Italian, Pasta, Beverages, Pizza, Desserts",1800.0,15.0,4.4,10.3,Fine Dining
173,Enchanté Café & Confectionery, Film Nagar, Hyderabad,"Cafe, Italian, Continental, Burger, Fast Food, Desserts, Beverages, Pizza",700.0,10.0,4.2,9.1,Casual Dining
174,Ta.Ma.Sha - Restro Cafe, Jubilee Hills, Hyderabad,"Asian, Thai, Korean, Chinese, Burger, Pizza, Coffee, Desserts",1200.0,15.0,3.8,11.6,Thematic Dining
175,Tim Hortons," Inorbit Mall, Hitech City", Hyderabad,"Cafe, Coffee, Beverages, Desserts, Sandwich, Fast Food",300.0,10.0,3.9,12.1,Casual Dining
176,Sakura - A Far Eastern Kitchen, Jubilee Hills, Hyderabad,"Japanese, Asian, Thai, Sushi, Korean, Chinese, Desserts, Beverages",1600.0,10.0,4.4,9.7,Fine Dining
177,Tiki Shack, Gachibowli, Hyderabad,"North Indian, Asian, Chinese, Seafood, Biryani, Fast Food, Desserts, Beverages",2500.0,35.0,3.8,15.4,Regional Dining
178,Pause, Hitech City, Hyderabad,"North Indian, Italian, Asian, Continental, Bar Food, Desserts",1600.0,20.0,4.1,13.5,Regional Dining
179,Moyaaah!, Banjara Hills, Hyderabad,"Cafe, Burger, Fast Food, Sandwich, American, Desserts, Beverages",1150.0,10.0,4.7,6.0,Casual Dining
180,Kadali Kitchen, Jubilee Hills, Hyderabad,South Indian,500.0,10.0,3.9,8.3,Regional Dining
181,Minyu - The Asian Affair, Madhapur, Hyderabad,"Chinese, Seafood, Desserts, Beverages, Asian",1200.0,15.0,4.6,13.4,Thematic Dining
182,Ishtaa, Gachibowli, Hyderabad,"South Indian, North Indian, Chinese, Biryani, Desserts, Beverages",700.0,10.0,4.2,13.2,Regional Dining
183,Hummus House, Banjara Hills, Hyderabad,"Mediterranean, Lebanese, Asian, Arabian, Pasta, Italian, Continental",1300.0,10.0,4.9,5.9,Fine Dining
184,Rayalaseema Ruchulu, Hitech City, Hyderabad,"Andhra, South Indian, Chinese, North Indian, Biryani, Desserts, Beverages",1100.0,10.0,4.3,13.2,Regional Dining
185,Brews & Blends, Kondapur, Hyderabad,"Continental, Italian, Pizza, Burger, Fast Food, Salad",1500.0,10.0,4.4,15.4,Thematic Dining
186,TGI Fridays," Nexus Hyderabad, Kukatpally", Hyderabad,"American, Burger, Italian, Beverages, Desserts, Pizza, BBQ, Mexican",2500.0,15.0,4.1,16.0,Thematic Dining
187,Aish - The Park," The Park, Somajiguda", Hyderabad,"Hyderabadi, Andhra, Biryani, Desserts",3500.0,10.0,4.3,6.5,Other
188,Little Italy, Gandipet, Hyderabad,"Italian, Pizza, Pasta, Continental, Desserts, Healthy Food, Beverages",1700.0,15.0,4.6,15.6,Fine Dining
189,Mairu Bistro, Jubilee Hills, Hyderabad,"Cafe, Coffee, Fast Food, Chinese, North Indian, Mexican, Italian, Beverages",1500.0,10.0,4.0,10.7,Casual Dining
190,Vivaha Bhojanambu Kitchen & Bar, Jubilee Hills, Hyderabad,"Andhra, Biryani, South Indian, Desserts, Beverages",1400.0,10.0,4.0,9.8,Regional Dining
191,Theth Masala, Lingampally, Hyderabad,"North Indian, Chinese, Continental, Mughlai, Kebab, Seafood, Desserts, Beverages",1400.0,10.0,4.6,20.6,Regional Dining
192,Yello Life Cafe, Jubilee Hills, Hyderabad,"Cafe, Beverages, Continental, Asian, Healthy Food, Desserts",700.0,10.0,4.3,9.7,Casual Dining
193,45th Avenue, Film Nagar, Hyderabad,"Cafe, Coffee, Burger, Sandwich, Beverages, Desserts, Tea, Continental",950.0,15.0,4.2,9.3,Casual Dining
194,Medoe Curated Buffet, The Skyview, Hyderabad,"North Indian, Chinese, Continental, Italian, Asian, South Indian, Biryani, Desserts",1000.0,10.0,4.3,12.9,Regional Dining
195,White Mango Kitchen, Jubilee Hills, Hyderabad,"Continental, North Indian",1000.0,10.0,4.0,9.5,Thematic Dining
196,Yummy Bee, Manikonda, Hyderabad,"Cafe, Pizza, Continental, Coffee, Desserts, Pasta, Healthy Food, Fast Food",1000.0,10.0,4.4,11.6,Casual Dining
197,Tara - South Indian Kitchen, Kothaguda, Hyderabad,"South Indian, Shake, Beverages",1000.0,10.0,4.1,15.0,Regional Dining
198,Seasonal Tastes - The Westin," The Westin Hyderabad Mindspace, Hitech City", Hyderabad,"Continental, North Indian, Italian, Asian, Chinese, Salad, Beverages, Desserts",4000.0,15.0,4.4,13.1,Thematic Dining
301,Dine Hill Fusion Flavours, Banjara Hills, Hyderabad,"Hyderabadi, Biryani, Chinese, Mandi, Kebab, Arabian, Desserts, Beverages",2000.0,10.0,3.3,7.7,Other
302,Cafe Delhi Heights, Hitech City, Hyderabad,"Cafe, Pizza, North Indian, Pasta",1500.0,15.0,4.3,12.4,Casual Dining
303,Sadda Punjabi Cafe, Madhapur, Hyderabad,"North Indian, Desserts, Beverages, Grilled Chicken, Kebab",500.0,10.0,4.3,13.4,Regional Dining
304,Palace Heights, Banjara Hills, Hyderabad,"North Indian, Mughlai, Continental, Chinese, Bar Food, Salad, Desserts, Beverages",1400.0,10.0,3.3,7.3,Regional Dining
305,AREY!, Financial District, Hyderabad,"South Indian, North Indian, Fast Food",1000.0,15.0,4.3,15.8,Regional Dining
306,Globe Buffetio, Financial District, Hyderabad,"South Indian, Asian, North Indian, Continental, Desserts, Mughlai",1700.0,10.0,4.2,16.4,Regional Dining
307,Vibeyard, Film Nagar, Hyderabad,"Italian, Continental, Chinese, Sandwich, Seafood, Salad, Fast Food",1800.0,20.0,4.5,8.9,Fine Dining
308,The Glass Onion, Gachibowli, Hyderabad,"North Indian, Asian, Fast Food, Italian, Beverages",2500.0,10.0,4.2,14.9,Regional Dining
309,Saudi Arabian Restaurant, Ameerpet, Hyderabad,"Arabian, Mandi, Desserts",500.0,10.0,3.9,8.6,Other
310,Erra Karam - South Indian Resto Bar, Jubilee Hills, Hyderabad,"Andhra, Chinese, Kebab, North Indian, South Indian, Bar Food, Biryani, Desserts",1400.0,10.0,4.3,10.3,Regional Dining
311,The Glass House- Progressive Kitchen & Cocktail Bar, Jubilee Hills, Hyderabad,"Modern Indian, Cafe, Asian, Coffee, Desserts, Beverages, Seafood",1500.0,10.0,4.3,10.1,Fine Dining
312,Headquarters, Somajiguda, Hyderabad,"Continental, Chinese, Italian, North Indian, Oriental, Hyderabadi, Desserts, Beverages",1800.0,15.0,4.4,6.4,Thematic Dining
313,Sesame, Gachibowli, Hyderabad,"Asian, Chinese, Sushi, Japanese, Oriental, Desserts, Momos, Seafood",1200.0,10.0,4.5,14.3,Thematic Dining
314,By The Bottle," Road 36, Jubilee Hills", Hyderabad,"Continental, Chinese, North Indian, Italian, Pizza, Bar Food",1400.0,15.0,4.2,9.9,Thematic Dining
315,House Of Gourmet, Jubilee Hills, Hyderabad,"Continental, Asian, Pizza, Pasta, Cafe, Coffee, Beverages",1200.0,10.0,4.3,10.4,Thematic Dining
316,The Symphony, Film Nagar, Hyderabad,"North Indian, Continental, Asian, Chinese, Italian, Biryani, Desserts, Beverages",1400.0,10.0,4.3,9.1,Regional Dining
317,Beenz Authentic Diner, Madhapur, Hyderabad,"South Indian, North Indian, Biryani, Chinese, Fast Food",1000.0,10.0,4.3,11.5,Regional Dining
318,Gabru Di Chaap, Sainikpuri, Secunderabad,"North Indian, Kebab, Wraps, Fast Food, Momos, Beverages",1000.0,10.0,4.0,15.1,Regional Dining
319,Telangana Spice Kitchen, Jubilee Hills, Hyderabad,"South Indian, North Indian, Biryani, Kebab, Hyderabadi, Desserts, Chettinad",2500.0,10.0,4.4,9.2,Regional Dining
320,Soul Fine Dine, Gachibowli, Hyderabad,"Italian, Continental, Salad, Beverages",2000.0,10.0,4.5,13.1,Fine Dining
321,Brewsters Fine Dine Resto Bar, Gachibowli, Hyderabad,"Bar Food, Pizza, Beverages, South Indian, Chinese, Pasta",1000.0,10.0,4.1,17.1,Thematic Dining
322,Rasyumm Multicuisine Veg & Non Veg, Hitech City, Hyderabad,"Chinese, North Indian, Biryani, Momos, Thai, Desserts",1000.0,10.0,4.3,14.3,Thematic Dining
323,Luft Bar & Kitchen, Jubilee Hills, Hyderabad,"Asian, Continental, Italian, Pasta, Pizza, Thai, Burger, Desserts",1000.0,10.0,4.2,9.9,Thematic Dining
324,Rasyumm Multi Cuisine Restaurant, Chanda Nagar, Hyderabad,"South Indian, North Indian, Kebab, Chinese, Biryani, Desserts",1100.0,10.0,3.9,20.8,Regional Dining
325,Telugu Aromas, Kothaguda, Hyderabad,"South Indian, Biryani",500.0,10.0,3.2,15.9,Regional Dining
326,Feast - Sheraton Hyderabad Hotel," Sheraton Hyderabad Hotel, Gachibowli", Hyderabad,"Modern Indian, Asian, Continental, Italian, Desserts, American, South Indian, Biryani",4200.0,25.0,4.1,15.9,Fine Dining
327,Hoy Punjab Restaurant, Manikonda, Hyderabad,"North Indian, Kebab",1500.0,15.0,4.2,12.1,Regional Dining
328,BowlFit, Madhapur, Hyderabad,"Italian, Continental, Salad",500.0,10.0,3.8,14.0,Fine Dining
329,Theia Bistro & Bar, Gandipet, Hyderabad,"Continental, Italian, Greek, Beverages, Chinese, Modern Indian, Asian, Pizza",1200.0,10.0,4.4,16.2,Thematic Dining
330,Hibacci -North East Asian Kitchen, Banjara Hills, Hyderabad,"Asian, Momos, Korean, Sushi, Beverages, Burmese, Japanese, Seafood",1000.0,15.0,4.4,6.9,Thematic Dining
331,World Of Wiskies, Gandipet, Hyderabad,"Bar Food, South Indian, Chinese, Biryani, Beverages",1300.0,15.0,3.9,14.4,Thematic Dining
332,45th Avenue by Karachi Bakery, Gachibowli, Hyderabad,"Bakery, Sandwich, Burger, Asian, Chinese, Fast Food, Desserts",500.0,15.0,4.4,14.3,Casual Dining
333,F Cafe & Bar, Madhapur, Hyderabad,"North Indian, Chinese, Sushi, Continental, Pizza, Italian, Biryani, Desserts",2000.0,10.0,4.5,13.1,Regional Dining
334,Amro Cafe, Gachibowli, Hyderabad,"Cafe, Coffee, Continental, Bakery, Beverages",1200.0,10.0,4.3,15.5,Casual Dining
335,Iron Grill Mandi & Restaurant, Financial District, Hyderabad,"Arabian, Mandi, Kebab",1000.0,10.0,3.9,16.7,Other
336,Ala Dakshinapuramlo, Hitech City, Hyderabad,"South Indian, Andhra, Biryani, Seafood, Chinese, Ice Cream",1300.0,10.0,4.0,13.7,Regional Dining
337,A'La Liberty, Hitech City, Hyderabad,"North Indian, Continental, Asian, Pizza, Italian, Oriental, Desserts, Beverages",1600.0,10.0,4.3,13.5,Regional Dining
338,The Joint Al- Mandi, Kukatpally, Hyderabad,"Mandi, Arabian, BBQ, Beverages, Kebab, Afghan",1000.0,20.0,4.2,16.5,Other
339,Vault Brewery, Jubilee Hills, Hyderabad,Bar Food,1500.0,10.0,4.3,11.3,Thematic Dining
340,Hyra Kitchen, Jubilee Hills, Hyderabad,"Andhra, North Indian, Mughlai, Biryani, Chinese",1200.0,20.0,4.4,9.6,Regional Dining
341,Jalpaan, Begumpet, Hyderabad,"North Indian, Biryani, Italian, Continental, Fast Food, Desserts, Beverages",1600.0,10.0,4.1,7.4,Regional Dining
342,Punjab Grill, Hitech City, Hyderabad,"North Indian, Kebab, Biryani, Mughlai",1800.0,15.0,4.1,12.1,Regional Dining
487,Soul Of South - Kitchen & Bar, Nanakramguda, Hyderabad,"South Indian, Seafood, Biryani, Andhra, Chinese, Desserts",800.0,10.0,4.5,15.8,Regional Dining
488,Saffron Soul - Marigold Hotel," Marigold Hotel, Begumpet", Hyderabad,"North Indian, Continental, Italian, Chinese, South Indian, Biryani, Desserts, Beverages",2200.0,15.0,4.2,8.2,Regional Dining
489,Fly - Feel The High, Jubilee Hills, Hyderabad,"Continental, Chinese, Pizza, North Indian, Beverages",2500.0,20.0,4.2,8.5,Thematic Dining
490,Bel Posto The Cafe, Jubilee Hills, Hyderabad,"Cafe, Salad, Healthy Food, Continental, Fast Food, Beverages, Shake, Pizza",950.0,15.0,4.1,10.6,Casual Dining
491,Mirosa Cafe & Kitchen, Himayath Nagar, Hyderabad,"Pizza, Burger, Fast Food, Continental, Healthy Food, Pasta, Sandwich, Beverages",1200.0,10.0,4.1,3.9,Casual Dining
492,Deccan Pavilion - ITC Kakatiya," ITC Kakatiya, Begumpet", Hyderabad,"North Indian, South Indian, Continental, Chinese",3500.0,15.0,4.2,7.7,Regional Dining
493,Beri’s Bistro, Kondapur, Hyderabad,"North Indian, South Indian, Continental, Chinese, Italian",600.0,10.0,3.3,16.5,Regional Dining
494,Rebel And Rye, Jubilee Hills, Hyderabad,"Continental, North Indian, Pizza, Bar Food, Beverages",2200.0,20.0,3.9,9.0,Thematic Dining
495,Jewel of Nizam - The Golkonda Hotel," Golkonda Hotel, Masab Tank", Hyderabad,"Hyderabadi, Mughlai",5000.0,10.0,4.1,4.9,Other
496,Cravery, Jubilee Hills, Hyderabad,"Cafe, Chinese, BBQ, Continental, Seafood, Italian, Fast Food, Desserts",950.0,10.0,4.6,9.0,Casual Dining
497,Cravery Cafe, Financial District, Hyderabad,"Cafe, Coffee, North Indian, Mughlai, Seafood, Chinese, Desserts, Beverages",1000.0,10.0,4.4,15.9,Casual Dining
498,Sounds & Spirits, Madhapur, Hyderabad,"Finger Food, Continental, Pizza, North Indian, Chinese, Beverages",1300.0,10.0,3.9,12.0,Thematic Dining
499,Spice It - ibis Hyderabad HITEC City, ibis Hyderabad HITEC City, Hyderabad,"North Indian, Chinese, Biryani, Desserts, Beverages",1600.0,30.0,3.9,13.7,Regional Dining
500,Oney Brewhouse, Cunningham Road, Bangalore,"American, Continental, Italian, South Indian, North Indian, Asian, Chinese",1500.0,15.0,4.0,1.6,Thematic Dining
501,Farzi Cafe, UB City, Bangalore,"North Indian, Desserts",1900.0,10.0,4.2,0.2,Regional Dining
502,SkyDeck By Sherlock's, MG Road, Bangalore,"Continental, Chinese, Finger Food, North Indian, Fast Food, Beverages, Desserts",1800.0,15.0,4.2,1.5,Thematic Dining
503,Maayaa," Prestige Trade Tower, Race Course Road", Bangalore,"South Indian, Seafood, Biryani, Kerala, Desserts, Beverages",1200.0,15.0,4.1,1.7,Regional Dining
504,Ouzo By Fire, Indiranagar, Bangalore,"Goan, Mangalorean, Beverages",1000.0,10.0,4.3,5.1,Regional Dining
505,Gilly's Restobar, Old Airport Road, Bangalore,"North Indian, Continental, Oriental, Pizza, Fast Food, Chinese, Desserts, Beverages",1200.0,10.0,4.3,6.7,Regional Dining
506,The Big Barbeque, Bannerghatta Road, Bangalore,"North Indian, Chinese, Ice Cream, Mangalorean, Fast Food, Salad, Desserts",1800.0,10.0,4.2,9.9,Regional Dining
507,Neo Kitchen - Hilton Embassy Manyata Business Park, Hilton Bengaluru Embassy Manyata Business Park, Bangalore,"Asian, Continental, Italian, South Indian, North Indian, Biryani, Desserts, Beverages",3100.0,20.0,4.2,8.3,Thematic Dining
508,Escape by Brewklyn, Nagawara, Bangalore,"Continental, Asian, North Indian, Pizza, Burger",2500.0,10.0,4.3,8.1,Thematic Dining
509,Pincode 24 Bar & Bistro, Hebbal, Bangalore,"Bar Food, Continental",1000.0,10.0,4.4,8.1,Thematic Dining
510,Jook Taproom, Indiranagar, Bangalore,"North Indian, South Indian, Chinese, Pizza, Fast Food, Biryani, Asian, Bar Food",1600.0,10.0,4.4,5.1,Regional Dining
511,Citrus - The Leela Palace," The Leela Palace, Old Airport Road", Bangalore,"North Indian, Continental, Asian, Desserts",4700.0,10.0,4.0,6.1,Regional Dining
512,Cafe Noir, UB City, Bangalore,"Italian, Continental, French, Cafe, Pizza, Desserts, Juices, Beverages",1800.0,10.0,4.1,0.2,Fine Dining
513,Magique, Koramangala 6th Block, Bangalore,"Asian, Modern Indian, Continental, Italian, North Indian, Sushi, Desserts, Beverages",1700.0,10.0,4.0,5.2,Thematic Dining
514,Toca Koramangala, Koramangala 5th Block, Bangalore,"Chinese, Fast Food, Steak, Pasta, Asian, Biryani, Desserts",1400.0,10.0,4.2,4.7,Thematic Dining
515,Float Brewery, Kalyan Nagar, Bangalore,"Bar Food, Continental, Italian, Asian, North Indian, Desserts, Pizza, Beverages",1500.0,10.0,4.4,7.8,Thematic Dining
516,The Terrace at Gilly's Redefined," Gilly's Redefined, Koramangala 4th Block", Bangalore,"Continental, North Indian, Italian, Bar Food, Desserts, Chinese, Beverages",2000.0,10.0,4.4,5.3,Thematic Dining
517,Barbecue By Punjab Grill," Mantri Square, Malleshwaram", Bangalore,"BBQ, Mughlai, North Indian, Salad, Desserts",1600.0,20.0,4.2,3.4,Specialty Dining
518,Gulp Cocktails And Kitchen, Banashankari, Bangalore,"North Indian, Continental, Mughlai, South Indian, Modern Indian, Pasta, Pizza, Chinese",1500.0,10.0,4.3,7.0,Regional Dining
519,Secret Story, Indiranagar, Bangalore,"Continental, Asian, North Indian, Fast Food, Desserts, Beverages, Vietnamese, Italian",1500.0,10.0,3.9,4.9,Thematic Dining
520,Toca Brigade, Brigade Road, Bangalore,"Chinese, Fast Food, Steak, Pasta, Asian, Biryani, Desserts",1200.0,10.0,4.2,1.5,Thematic Dining
521,Roastea, Koramangala 4th Block, Bangalore,"Coffee, Italian, Pizza, Pasta, Bakery, Cafe",1400.0,10.0,4.2,5.4,Casual Dining
522,Nomad PizzaBar, Indiranagar, Bangalore,"Pizza, Italian, Beverages, Burger, Mexican, Pasta, Cafe",1500.0,15.0,4.6,5.0,Casual Dining
523,Barrys Sky Lounge, Kalyan Nagar, Bangalore,"Chinese, North Indian, Oriental, Mughlai, Biryani",1000.0,15.0,4.2,8.4,Thematic Dining
524,Macaw By Stories, Bommanahalli, Bangalore,"South Indian, North Indian, Chinese, Pasta, Pizza, Fast Food, Salad, Desserts",1800.0,20.0,4.2,11.1,Regional Dining
525,Geometry Brewery & Kitchen, Rajajinagar, Bangalore,"Chinese, North Indian, Italian, Continental, Pizza, Desserts, Beverages",1800.0,10.0,4.3,5.7,Thematic Dining
526,Stories Brewery & Kitchen, BTM, Bangalore,"North Indian, Continental, Chinese, Finger Food, Beverages, Desserts",1600.0,20.0,4.5,7.5,Regional Dining
527,No Limmits Lounge And Club, Brigade Road, Bangalore,"Chinese, Continental, North Indian, Fast Food, Pizza, Beverages",2500.0,25.0,3.8,1.8,Thematic Dining
528,Alchemy," The Chancery Pavilion, Residency Road", Bangalore,"North Indian, Continental, Biryani, Desserts, Bar Food, South Indian, Seafood, Beverages",3300.0,20.0,4.2,0.8,Regional Dining
529,Gawky Goose, Old Airport Road, Bangalore,"Italian, Biryani, North Indian, Fast Food, Seafood, Asian, Desserts, Beverages",2200.0,15.0,4.4,6.6,Fine Dining
560,Terrace By House Of Commons, JP Nagar, Bangalore,"Modern Indian, Continental, Asian, Chinese, North Indian, Seafood, Bar Food, Beverages",2000.0,15.0,4.6,6.4,Fine Dining
561,Hoot, Sarjapur Road, Bangalore,"Continental, Italian, North Indian, Beverages",2000.0,10.0,4.2,11.1,Thematic Dining
562,Three Dots & A Dash, JP Nagar, Bangalore,"North Indian, Continental, Italian",1800.0,10.0,4.3,6.8,Regional Dining
563,Prime Golf - Brewing & Golfing, Whitefield, Bangalore,"Modern Indian, Beverages, Momos",2000.0,20.0,4.3,19.1,Fine Dining
564,Geometry Gastropub, New BEL Road, Bangalore,"Continental, North Indian, Chinese, Mughlai, Biryani, Desserts, Beverages",1600.0,15.0,4.3,7.9,Thematic Dining
565,Ministry of Food - Hilton Bangalore Embassy GolfLinks," Hilton Bangalore Embassy GolfLinks, Domlur", Bangalore,"Asian, Continental, Italian, North Indian, Mughlai, Desserts, Beverages",3500.0,25.0,4.0,6.1,Thematic Dining
566,Uru Brewpark, JP Nagar, Bangalore,"Continental, North Indian, Italian, Chinese, Asian, Pizza, Lebanese, Beverages",2200.0,10.0,4.3,7.4,Thematic Dining
567,21st Amendment Gastrobar, Indiranagar, Bangalore,"North Indian, Fast Food, Chinese, Bar Food, Sichuan, Beverages",1700.0,10.0,4.3,5.1,Regional Dining
568,Biergarten, Koramangala 5th Block, Bangalore,"Continental, European, BBQ, Chinese, Asian, Beverages",2500.0,10.0,4.6,4.8,Thematic Dining
569,White Garden, Kalyan Nagar, Bangalore,"North Indian, Italian, Lebanese, Asian, Continental, Desserts",1600.0,10.0,4.3,7.8,Regional Dining
570,Ambedo Kitchen|Taproom, JP Nagar, Bangalore,"Continental, Asian, North Indian, Italian, Pizza, Sushi",1500.0,10.0,4.5,6.8,Thematic Dining
572,Levels Pub & Kitchen, JP Nagar, Bangalore,"Asian, South Indian, North Indian",1700.0,10.0,4.5,7.3,Thematic Dining
573,By Chance, Brigade Road, Bangalore,"Italian, Continental",1500.0,10.0,4.2,1.4,Fine Dining
574,House Of Commons, Koramangala 5th Block, Bangalore,"Bar Food, North Indian, Italian, Chinese, Fast Food, Continental, Beverages, Desserts",1200.0,10.0,4.3,4.7,Thematic Dining
575,Candles  Brewhouse, RMZ Azure, Bangalore,"Italian, Continental, American, Pizza, North Indian",2500.0,10.0,4.2,9.3,Fine Dining
576,Zaffran By TBC, Marathahalli, Bangalore,"North Indian, Mughlai, Biryani, Seafood, Kebab, Ice Cream, Desserts",1100.0,10.0,4.3,12.5,Regional Dining
577,The Reservoire, Koramangala 5th Block, Bangalore,"North Indian, Biryani, Asian, Italian, Continental, Bar Food, Desserts, Beverages",2000.0,10.0,4.4,5.2,Regional Dining
578,Brooks And Bonds Brewery, Koramangala 5th Block, Bangalore,"Continental, American, North Indian, Italian, Fast Food, Beverages, Desserts",2000.0,15.0,4.1,5.2,Thematic Dining
579,Bhola & Blonde, Indiranagar, Bangalore,"North Indian, Lucknowi, Mughlai, Biryani, Fast Food, Desserts",1900.0,10.0,3.9,4.9,Regional Dining
580,1131 Bar + Kitchen By House Of Commons, Indiranagar, Bangalore,"Finger Food, North Indian, Continental, Chinese, Italian, Asian, Desserts, Beverages",2200.0,10.0,4.5,5.1,Thematic Dining
581,XOOX Brewmill, Koramangala 5th Block, Bangalore,"North Indian, Continental, American, Italian, Asian, Modern Indian, Pizza, Desserts",2000.0,10.0,4.3,4.6,Regional Dining
582,Ging - Royal Orchid Central," Royal Orchid Central, MG Road", Bangalore,"Asian, Seafood, Desserts, Oriental",2500.0,25.0,4.2,2.3,Thematic Dining
583,The Local, Kalyan Nagar, Bangalore,"Pizza, Continental, Burger, Seafood, Kerala, Finger Food, Beverages",1600.0,15.0,4.3,7.5,Casual Dining
584,Sky Garden, Whitefield, Bangalore,"Continental, North Indian, Pizza, Asian, Pasta, Chinese, Desserts, Beverages",2000.0,25.0,4.1,12.1,Thematic Dining
585,K-OS TheGameBar, Koramangala 7th Block, Bangalore,"Continental, Italian, North Indian, Finger Food, Asian, Fast Food",1700.0,10.0,4.3,4.6,Thematic Dining
586,Now Boarding Café, Jayanagar, Bangalore,"Chinese, Fast Food, Sandwich, Pasta, Pizza, Desserts, Shake, Beverages",1000.0,10.0,3.9,4.3,Thematic Dining
587,Daily Sushi, Indiranagar, Bangalore,"Sushi, Japanese, Korean, Asian, Beverages",950.0,10.0,4.4,4.8,Specialty Dining
588,Feast - Sheraton Grand Bangalore Hotel at Brigade Gateway," Sheraton Grand Bangalore, Brigade Gateway", Bangalore,"North Indian, Continental, Fast Food, Asian, Beverages",3500.0,15.0,4.5,6.3,Regional Dining
589,Oyster Bar & Kitchen, HSR, Bangalore,"Continental, Bar Food, Chinese, North Indian, Beverages, Desserts",1600.0,10.0,4.5,8.2,Thematic Dining
650,Mezera Brewery & Kitchen, JP Nagar, Bangalore,Continental,1600.0,10.0,4.3,7.2,Thematic Dining
651,Pasta Street, JP Nagar, Bangalore,"Pasta, Pizza, Italian, Salad, Desserts, Beverages",1800.0,10.0,4.6,7.2,Other
652,1947, Malleshwaram, Bangalore,"North Indian, Chinese, Biryani, Italian, Street Food, Salad, Desserts, Beverages",1400.0,10.0,3.7,4.7,Regional Dining
653,Babylonia - Global Food & Cocktails, Koramangala 7th Block, Bangalore,"Continental, North Indian, Asian, Italian, Mughlai, Mediterranean, Bar Food, Desserts",1500.0,10.0,4.4,4.6,Thematic Dining
654,The Spiceberry, Bellandur, Bangalore,"North Indian, Pasta, Pizza, Continental, Salad, Sandwich, Kebab, Desserts",1000.0,10.0,4.2,9.6,Regional Dining
656,Aurum Brew Works, Sarjapur Road, Bangalore,"North Indian, Continental, Asian, Beverages, Desserts",300.0,10.0,4.3,12.0,Regional Dining
657,Parika Multicuisine & Coastal Fine Dine, HSR, Bangalore,"Mangalorean, Seafood, North Indian, Asian, Chinese, South Indian, Desserts, Beverages",1300.0,10.0,4.3,8.2,Other
658,Yellow Door - The Neighbourhood Kitchen, Koramangala 5th Block, Bangalore,"North Indian, Asian, Italian, Fast Food",1100.0,20.0,4.2,4.8,Regional Dining
659,Auntie Fung's, New BEL Road, Bangalore,"Asian, Chinese, Thai, Korean, Burmese, Indonesian, Cantonese, Vietnamese",600.0,10.0,4.0,6.9,Thematic Dining
660,Backstreet Brewery, Sarjapur Road, Bangalore,"Italian, Bar Food, Pizza, North Indian, Asian, Desserts, Beverages",1800.0,15.0,4.4,12.3,Fine Dining
662,Beijing Bites, Shubh Enclave, Bangalore,"Chinese, Seafood, Thai, Rolls, Momos, Malaysian",1000.0,15.0,3.8,10.1,Thematic Dining
663,Bramble, Jayanagar, Bangalore,"Continental, Asian, North Indian, Italian, Bar Food, Beverages",1800.0,10.0,4.3,6.3,Thematic Dining
665,Bamey's Gastro Bar, Koramangala 5th Block, Bangalore,"Nepalese, Chinese, North Indian, Momos, Bar Food, Asian, Desserts, Tibetan",1000.0,10.0,4.5,5.0,Other
666,Taproom By Sherlock's, JP Nagar, Bangalore,"North Indian, Oriental, Continental, Biryani, Pizza, Pasta, Desserts, Beverages",1800.0,15.0,4.3,7.4,Regional Dining
